# OneRoadTrip - Validation des noms de places

## Contexte
Je nettoie les noms et les place_id dans mon catalogue OneRoadTrip. Pour chaque ligne ci-dessous, donne-moi le bon nom à afficher selon ces règles strictes.

## Règle de langue
Pays "IT" → la langue locale (it) est lisible par un Européen, donc utilise-la.

Si la langue locale a une orthographe latine acceptable (Bologna, München, Köln, Århus, etc.) → utilise-la.
Si la langue est non latine (grec, japonais, arabe, cyrillique, hébreu, thaï, etc.) → utilise l'anglais standard.

## Détection des doublons
Si deux place_id pointent visiblement vers la même ville (ex: "ES::barcelone" et "ES::barcelona", "FR::haroue" et "FR::haroué", "MU::trou-d-eau-douce" et "MU::trou-deau-douce"), marque l'un comme doublon de l'autre.

Le "gardé" est celui dont le slug est le plus correct (avec apostrophe, accent, orthographe locale). L'autre est marqué comme doublon de celui-ci.

## Colonne "choix" (IMPORTANT)
- **OK** : tu es sûr de la correction, elle peut être appliquée automatiquement
- **?** : cas douteux, l'utilisateur doit valider à la main

Mets **?** quand :
- confiance moyenne ou basse
- granularité bizarre (un quartier au lieu d'une ville, un village dans un parc, etc.)
- doublon possible mais pas évident
- la donnée Wikidata semble fausse (ex: "Cachi Department" pour la ville de Cachi)

Mets **OK** quand :
- changement orthographique simple et clair (Bologne → Bologna, Zell Am See → Zell am See)
- nom déjà correct, juste recopié
- doublon strict évident (haroue/haroué)

## Format de sortie OBLIGATOIRE
Réponds UNIQUEMENT avec un bloc TSV (tab-separated), sans explication avant ou après, sans markdown autour, sans backticks.

Colonnes (séparées par TAB, dans cet ordre) :
`place_id_actuel\tnom_corrige\tdoublon_de\tchoix\tconfiance\tcommentaire`

- **place_id_actuel** : recopier exactement ce qui est en entrée
- **nom_corrige** : le bon nom à afficher (si déjà correct, recopier le nom_actuel)
- **doublon_de** : si c'est un doublon, le place_id à garder. Sinon vide.
- **choix** : OK ou ?
- **confiance** : H, M ou L
- **commentaire** : court (max 80 caractères) si changement notable, sinon vide

## Données (pays IT, partie 2/2)

place_id_actuel	nom_actuel	nom_anglais	nom_local
IT::montecatini-terme	Montecatini Terme		
IT::montecosaro	Montecosaro		
IT::montefabbri	Montefabbri		
IT::montefalco	Montefalco	Montefalco	Montefalco
IT::montefiascone	Montefiascone	Montefiascone	Montefiascone
IT::montefiore-dellaso	Montefiore Dellaso		
IT::montegrotto-terme	Montegrotto Terme		
IT::montelupone	Montelupone		
IT::monteprandone	Monteprandone		
IT::montepulciano	Montepulciano	Montepulciano	Montepulciano
IT::monterchi	Monterchi		
IT::monteriggioni	Monteriggioni	Monteriggioni	Monteriggioni
IT::montopoli-in-val-darno	Montopoli In Val Darno		
IT::morano-calabro	Morano Calabro		
IT::moresco	Moresco		
IT::morro-dalba	Morro Dalba		
IT::muggia	Muggia	Muggia	Muggia
IT::napoli	Napoli		
IT::nardo	Nardo		
IT::narni	Narni	Narni	Narni
IT::navelli	Navelli		
IT::nebrodi	Nebrodi		
IT::neive	Neive		
IT::nemi	Nemi	Nemi	Nemi
IT::nerola	Nerola		
IT::noale	Noale		
IT::noto	Noto		
IT::nove	Nove		
IT::nuoro	Nuoro		
IT::offagna	Offagna		
IT::offida	Offida		
IT::olbia	Olbia		
IT::olgiasca	Olgiasca		
IT::oliena	Oliena		
IT::opi	Opi		
IT::orgosolo	Orgosolo		
IT::oria	Oria		
IT::oristano	Oristano	Province of Oristano	Oristano
IT::orosei	Orosei		
IT::orsara-di-puglia	Orsara Di Puglia		
IT::orta-san-giulio	Orta San Giulio	Orta San Giulio	Orta San Giulio
IT::ortisei	Ortisei	Urtijëi	Ortisei
IT::orvieto	Orvieto	Orvieto	Orvieto
IT::ostana	Ostana		
IT::ostuni	Ostuni	Ostuni	Ostuni
IT::otranto	Otranto	Otranto	Otranto
IT::pacentro	Pacentro		
IT::padova	Padova	Province of Padua	Padova
IT::paestum	Paestum	Paestum railway station	stazione di Paestum
IT::palaia	Palaia		
IT::palena	Palena		
IT::palermo	Palermo		
IT::palestrina	Palestrina	Palestrina	Palestrina
IT::palinuro	Palinuro		
IT::palmanova	Palmanova	Palmanova	Palmanova
IT::palmi	Palmi	Palmi	Palmi
IT::panarea	Panarea		
IT::pantelleria	Pantelleria		
IT::pantheon	Pantheon	Pantheon	Pantheon
IT::parco-maremma	Parco Maremma		
IT::parma	Parma		
IT::parme	Parme		
IT::passariano	Passariano		
IT::peccioli	Peccioli		
IT::penne	Penne	Penne	Penne
IT::pergola	Pergola		
IT::pesariis	Pesariis		
IT::pescara	Pescara		
IT::pescasseroli	Pescasseroli		
IT::peschici	Peschici		
IT::peschiera-del-garda	Peschiera Del Garda	Peschiera del Garda	Peschiera del Garda
IT::pescia	Pescia	Pescia	Pescia
IT::pescocostanzo	Pescocostanzo		
IT::petritoli	Petritoli		
IT::pettorano-sul-gizio	Pettorano Sul Gizio		
IT::piacenza	Piacenza	Province of Piacenza	provincia di Piacenza
IT::piancastagnaio	Piancastagnaio		
IT::piazza-armerina	Piazza Armerina		
IT::piazza-di-spagna	Piazza Di Spagna		
IT::piazza-navona	Piazza Navona		
IT::piazza-venezia	Piazza Venezia		
IT::piazzola-sul-brenta	Piazzola Sul Brenta		
IT::picinisco	Picinisco		
IT::pienza	Pienza	Pienza	Pienza
IT::pietra-di-bismantova	Pietra Di Bismantova		
IT::pietracamela	Pietracamela		
IT::pietrasanta	Pietrasanta	Pietrasanta	Pietrasanta
IT::piglio	Piglio		
IT::pisa	Pisa		
IT::pistoia	Pistoia	Province of Pistoia	provincia di Pistoia
IT::pitigliano	Pitigliano	Pitigliano	Pitigliano
IT::pizzo	Pizzo	Pizzo	Pizzo
IT::pizzo-calabro	Pizzo Calabro		
IT::poggio-a-caiano	Poggio A Caiano	Poggio a Caiano	Poggio a Caiano
