# OneRoadTrip - Validation des noms de places

## Contexte
Je nettoie les noms et les place_id dans mon catalogue OneRoadTrip. Pour chaque ligne ci-dessous, donne-moi le bon nom à afficher selon ces règles strictes.

## Règle de langue
Pays "FR" → la langue locale (fr) est lisible par un Européen, donc utilise-la.

Si la langue locale a une orthographe latine acceptable (Bologna, München, Köln, Århus, etc.) → utilise-la.
Si la langue est non latine (grec, japonais, arabe, cyrillique, hébreu, thaï, etc.) → utilise l'anglais standard.

## Détection des doublons
Si deux place_id pointent visiblement vers la même ville (ex: "ES::barcelone" et "ES::barcelona", "FR::haroue" et "FR::haroué", "MU::trou-d-eau-douce" et "MU::trou-deau-douce"), marque l'un comme doublon de l'autre.

Le "gardé" est celui dont le slug est le plus correct (avec apostrophe, accent, orthographe locale). L'autre est marqué comme doublon de celui-ci.

## Colonne "choix" (IMPORTANT)
- **OK** : tu es sûr de la correction, elle peut être appliquée automatiquement
- **?** : cas douteux, l'utilisateur doit valider à la main

Mets **?** quand :
- confiance moyenne ou basse
- granularité bizarre (un quartier au lieu d'une ville, un village dans un parc, etc.)
- doublon possible mais pas évident
- la donnée Wikidata semble fausse (ex: "Cachi Department" pour la ville de Cachi)

Mets **OK** quand :
- changement orthographique simple et clair (Bologne → Bologna, Zell Am See → Zell am See)
- nom déjà correct, juste recopié
- doublon strict évident (haroue/haroué)

## Format de sortie OBLIGATOIRE
Réponds UNIQUEMENT avec un bloc TSV (tab-separated), sans explication avant ou après, sans markdown autour, sans backticks.

Colonnes (séparées par TAB, dans cet ordre) :
`place_id_actuel\tnom_corrige\tdoublon_de\tchoix\tconfiance\tcommentaire`

- **place_id_actuel** : recopier exactement ce qui est en entrée
- **nom_corrige** : le bon nom à afficher (si déjà correct, recopier le nom_actuel)
- **doublon_de** : si c'est un doublon, le place_id à garder. Sinon vide.
- **choix** : OK ou ?
- **confiance** : H, M ou L
- **commentaire** : court (max 80 caractères) si changement notable, sinon vide

## Données (pays FR, partie 3/4)

place_id_actuel	nom_actuel	nom_anglais	nom_local
FR::lourdes	Lourdes	Lourdes	Lourdes
FR::lourmarin	Lourmarin	Lourmarin	Lourmarin
FR::lumio	Lumio		
FR::luneville	Luneville	Lunéville	Lunéville
FR::lure	Lure	Lure	Lure
FR::lurs	Lurs	Lurs	Lurs
FR::lusigny-sur-barse	Lusigny Sur Barse	Lusigny-sur-Barse	Lusigny-sur-Barse
FR::luxeuil-les-bains	Luxeuil Les Bains	Luxeuil-les-Bains	Luxeuil-les-Bains
FR::luz-saint-sauveur	Luz Saint Sauveur	Luz-Saint-Sauveur	Luz-Saint-Sauveur
FR::lyon	Lyon		
FR::lyons-la-foret	Lyons La Foret	Lyons-la-Forêt	Lyons-la-Forêt
FR::macinaggio	Macinaggio		
FR::macon	Macon	Mâcon	Mâcon
FR::maillane	Maillane	Maillane	Maillane
FR::maillezais	Maillezais	Maillezais	Maillezais
FR::maintenon	Maintenon	Maintenon	Maintenon
FR::maisons-alfort	Maisons Alfort		
FR::malbuisson	Malbuisson	Malbuisson	Malbuisson
FR::malicorne-sur-sarthe	Malicorne Sur Sarthe	Malicorne-sur-Sarthe	Malicorne-sur-Sarthe
FR::mamers	Mamers	Mamers	Mamers
FR::mane	Mane	Mane	Mane
FR::manosque	Manosque	Manosque	Manosque
FR::mantes-la-jolie	Mantes La Jolie	Mantes-la-Jolie	Mantes-la-Jolie
FR::marche-enfants-rouges	Marche Enfants Rouges		
FR::marciac	Marciac		
FR::marennes	Marennes		
FR::margaux	Margaux	Margaux	Margaux
FR::marigny	Marigny	Marigny	Marigny
FR::marlenheim	Marlenheim		
FR::marmande	Marmande	Marmande	Marmande
FR::maroilles	Maroilles		
FR::marseille	Marseille	Marseille	Marseille
FR::marseilleveyre	Marseilleveyre		
FR::martel	Martel	Martel	Martel
FR::massat	Massat	Massat	Massat
FR::maubeuge	Maubeuge	Maubeuge	Maubeuge
FR::mauriac	Mauriac	Mauriac	Mauriac
FR::maussane-les-alpilles	Maussane Les Alpilles	Maussane-les-Alpilles	Maussane-les-Alpilles
FR::mayenne	Mayenne	Mayenne	Mayenne
FR::mazamet	Mazamet	Mazamet	Mazamet
FR::meaudre	Meaudre	Méaudre	Méaudre
FR::meaux	Meaux	Meaux	Meaux
FR::megeve	Megeve	Megève	Megève
FR::mehun-sur-yevre	Mehun Sur Yevre	Mehun-sur-Yèvre	Mehun-sur-Yèvre
FR::mende	Mende	Mende	Mende
FR::menerbes	Menerbes	Ménerbes	Ménerbes
FR::menton	Menton		
FR::merens-les-vals	Merens Les Vals	Mérens-les-Vals	Mérens-les-Vals
FR::mereville	Mereville	Méréville	Méréville
FR::metz	Metz	Metz	Metz
FR::meung-sur-loire	Meung Sur Loire	Meung-sur-Loire	Meung-sur-Loire
FR::meursault	Meursault	Meursault	Meursault
FR::meyrueis	Meyrueis	Meyrueis	Meyrueis
FR::millau	Millau	Millau	Millau
FR::milly-la-foret	Milly La Foret	Milly-la-Forêt	Milly-la-Forêt
FR::mimizan	Mimizan	Mimizan	Mimizan
FR::minerve	Minerve	Minerve	Minerve
FR::mirande	Mirande	Mirande	Mirande
FR::mirepoix	Mirepoix	Mirepoix	Mirepoix
FR::mirmande	Mirmande	Mirmande	Mirmande
